,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration,,Ground Truth,Gazepath,Dispersion,Velocity,Ground Truth,Gazepath,Dispersion,Velocity
4,134,114,94,331.5224,422.5351,515.5106,44424,48169,48458,126,379.5873,47828,,,,,,,,,
5,71,56,35,695.2817,907.125,1460.286,49365,50799,51110,68,736.9412,50112,,,,,,,,,
6,104,66,44,464.375,756.4697,1141.932,48295,49927,50245,77,644.7532,49646,,,,,,,,,
7,101,86,63,462.4752,569.4535,787.9206,46710,48973,49639,95,515.4947,48972,,,,,,,,,
8,124,110,79,330.3387,405.1182,586.4304,40962,44563,46328,120,369.2167,44306,,,,,,,,,
9,128,95,64,343.6563,490.5158,742.25,43988,46599,47504,119,392.5798,46717,,,,,,,,,
10,131,112,92,348.5496,447.4643,546.4022,45660,50116,50269,121,410.0579,49617,,,,,,,,,
11,85,48,23,570.7294,1060.125,2223.739,48512,50886,51146,61,831.3115,50710,,,,,,,,,
12,87,54,12,558.2644,933.7037,4225.75,48569,50420,50709,70,712.9286,49905,,,,,,,,,
13,131,116,97,352.2672,428.9828,516.2887,46147,49762,50080,126,390.6984,49228,,,,,,,,,
14,109,86,59,436.422,585.5349,856.661,47570,50356,50543,102,490.5294,50034,,,,,,,,,
15,105,91,75,442.2952,548.1648,668.4667,46441,49883,50135,101,486.7822,49165,,,,,,,,,
16,125,96,70,374.088,525.0521,724.7286,46761,50405,50731,108,463.9167,50103,,,,,,,,,
17,63,74,59,561.8413,505.1351,659.7458,35396,37380,38925,95,397.8211,37793,,,,,,,,,
18,131,91,57,363.7939,548.6154,883.5965,47657,49924,50365,107,463.4579,49590,,,,,,,,,
19,121,81,55,394.1405,618.0864,921.7455,47691,50065,50696,96,518.1146,49739,,,,,,,,,
20,129,82,35,373.2403,616.9756,1460.143,48148,50592,51105,111,452.1622,50190,,,,,,,,,
21,128,128,115,345.2266,368.9063,413.0087,44189,47220,47496,133,351.1353,46701,,,,,,,,,
