,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration,,Ground Truth,Gazepath,Dispersion,Velocity,Ground Truth,Gazepath,Dispersion,Velocity
7,112,76,41,469.3482,723.9737,1353.3902,52567,55022,55489,95,567.4526,53908,,,,,,,,,
8,133,104,69,370,503.6058,767.5942,49210,52375,52964,120,433.8917,52067,,,,,,,,,
9,143,102,46,373.5524,545.3824,1214.3261,53418,55629,55859,124,444.7258,55146,,,,,,,,,
10,155,115,94,334.0194,488.7478,598.3511,51773,56206,56245,141,393.3333,55460,,,,,,,,,
11,158,92,69,330.1646,613.0761,819.4203,52166,56403,56540,113,493.7522,55794,,,,,,,,,
12,126,68,28,427.7063,831.6324,2028.8571,53891,56551,56808,86,650.8953,55977,,,,,,,,,
13,148,97,54,329.3851,535.1443,966.6667,48749,51909,52200,133,409.812,54505,,,,,,,,,
14,154,123,88,336.4156,447.9593,629.0341,51808,55099,55355,145,376.2345,54554,,,,,,,,,
15,111,99,73,470.4414,564.2424,767.5479,52219,55860,56031,104,533.0481,55437,,,,,,,,,
16,137,105,74,382.9635,535.9333,764.1622,52466,56273,56548,125,444.4,55550,,,,,,,,,
17,73,106,76,643.6986,450.3396,643.6053,46990,47736,48914,136,338.875,46087,,,,,,,,,
18,146,113,83,346.1164,476.1681,655.3133,50533,53807,54391,132,403.8485,53308,,,,,,,,,
19,159,130,84,321.5723,417.2231,650.0952,51130,54239,54608,150,357.2933,53594,,,,,,,,,
20,128,108,54,411.9141,514.7593,1034.6667,52725,55594,55872,122,451.9754,55141,,,,,,,,,
21,136,130,113,357.2647,394.9769,457.1593,48588,51347,51659,149,343.0403,51113,,,,,,,,,
22,109,96,53,456.0183,542.625,996.717,49706,52092,52826,115,443.9739,51057,,,,,,,,,
23,113,82,54,452.9027,656.8902,1006.4444,51178,53865,54348,99,541.1616,53575,,,,,,,,,
24,149,105,78,327.651,491.0095,671.3718,48820,51556,52367,130,394.7154,51313,,,,,,,,,
25,130,114,85,355.2538,435.8158,589.8941,46183,49683,50141,136,368.6618,50138,,,,,,,,,
26,107,66,32,508.3925,852.6515,1767.125,54398,56275,56548,85,656.5059,55803,,,,,,,,,
27,90,81,47,585.2222,683.5556,1191.4468,52670,55368,55998,94,583.617,54860,,,,,,,,,
28,135,75,38,354.2815,672.9333,1349.3947,47828,50470,51277,104,482.7308,50204,,,,,,,,,
29,85,84,64,589.7882,627.0595,832.0469,50132,52673,53251,92,560.2391,51542,,,,,,,,,
30,166,127,93,292.1024,404.9291,557.7957,48489,51426,51875,155,323.9742,50216,,,,,,,,,
1,118,99,33,331.0932,406.6667,1248.242,39069,40260,41192,121,331.595,40123,,,,,,,,,
2,83,76,34,469.0482,529.5658,1209.088,38931,40247,41109,95,417.4421,39657,,,,,,,,,
3,101,95,59,399.495,444.8947,724.8983,40349,42265,42769,111,373.3243,41439,,,,,,,,,
4,120,115,83,313.675,353.0696,495.9036,37641,40603,41160,131,307.2901,40255,,,,,,,,,
5,84,82,47,486.5357,519.8415,916.383,40869,42627,43070,97,432.134,41917,,,,,,,,,
6,92,75,28,447.0543,575.1467,1547.321,41129,43136,43325,95,446.3789,42406,,,,,,,,,
7,106,92,53,374.1038,451.7174,793.0189,39655,41558,42030,108,379.0185,40934,,,,,,,,,
8,72,73,48,485.9444,511.3151,793.3958,34988,37326,38083,84,440,36960,,,,,,,,,
9,117,96,59,343.3419,442.5625,725.7797,40171,42486,42821,117,358.3504,41927,,,,,,,,,
10,102,110,58,391.7843,389.9636,746.6379,39962,42896,43305,125,337.512,42189,,,,,,,,,
11,90,75,38,451.5333,572.0267,1144.237,40638,42902,43481,100,426.91,42691,,,,,,,,,
12,107,97,31,370.1121,444.0928,1415.71,39602,43077,43887,119,356.2773,42397,,,,,,,,,
13,126,113,74,306.1984,370.7788,570.3108,38581,41898,42203,127,326.6693,41487,,,,,,,,,
14,117,116,90,339.5556,365.931,474.8333,39728,42448,42735,127,328.2283,41685,,,,,,,,,
15,72,79,57,560.5139,537.962,748.5614,40357,42499,42668,89,469.573,41792,,,,,,,,,
16,105,107,82,382.219,403.4579,529.1707,40133,43170,43392,121,351.1653,42491,,,,,,,,,
17,75,87,65,446.6,395.7011,547.7385,33495,34426,35603,107,319.5701,34194,,,,,,,,,
18,133,105,47,291.0376,391.8857,885.2979,38708,41148,41609,126,320.7937,40420,,,,,,,,,
19,108,106,68,365.8056,399.8774,629.3676,39507,42387,42797,118,356.2797,42041,,,,,,,,,
20,88,96,51,450.6477,438.2813,829.6471,39657,42075,42312,110,372.2545,40948,,,,,,,,,
21,89,92,83,412.9438,424.3043,474.988,36752,39036,39424,104,371.1731,38602,,,,,,,,,
22,130,105,55,294.4769,390.9238,755.8545,38282,41047,41572,127,316.4961,40195,,,,,,,,,
23,105,94,66,368.7524,437.0319,632.7121,38719,41081,41759,105,383.7238,40291,,,,,,,,,
24,134,89,51,279.9403,447.7303,801.1961,37512,39848,40861,113,351.4513,39714,,,,,,,,,
25,121,118,61,318.5455,346.339,679.1803,38544,40868,41430,132,303.8258,40105,,,,,,,,,
26,97,93,43,402.7629,432.4086,950.3488,39068,40214,40865,123,325.748,40067,,,,,,,,,
27,118,110,69,311.1102,354.1091,577.2029,36711,38952,39827,122,313.7787,38281,,,,,,,,,
28,97,85,44,393.4845,478.1294,932.75,38168,40641,41041,108,369.5185,39908,,,,,,,,,
29,79,78,38,481.4177,517.9359,1077.632,38032,40399,40950,93,424.7742,39504,,,,,,,,,
30,132,117,86,258.3636,309.6838,428.9651,34104,36233,36891,134,264.2015,35403,,,,,,,,,
1,127,61,30,422.3228,911.6557,1871.667,53635,55611,56150,82,677.622,55565,,,,,,,,,
2,122,94,52,420.9508,578.7234,1062.346,51356,54400,55242,106,505.9623,53632,,,,,,,,,
3,117,70,25,473.0684,826.1857,2320.44,55349,57833,58011,91,628.7033,57212,,,,,,,,,
4,118,85,53,446.5169,653.6706,1054.453,52689,55562,55886,101,546.6931,55216,,,,,,,,,
5,97,72,49,566.8247,793.875,1172.939,54982,57159,57474,88,645.5341,56807,,,,,,,,,
6,85,48,31,639.0235,1172.729,1822.258,54317,56291,56490,61,916.1803,55887,,,,,,,,,
7,98,61,36,560.1939,927.9016,1577.694,54899,56602,56797,73,772.7397,56410,,,,,,,,,
8,116,88,53,434.431,610.3523,1026.34,50394,53711,54396,106,508.6038,53912,,,,,,,,,
9,97,73,28,564.0722,772.7808,2022.714,54715,56413,56636,90,620.8333,55875,,,,,,,,,
10,120,91,62,449.75,632.033,929.8226,53970,57515,57649,105,543.5143,57069,,,,,,,,,
11,96,46,21,588.1042,1260.87,2765.857,56458,58000,58083,64,900.7344,57647,,,,,,,,,
12,103,51,18,535.9515,1124.373,3208.444,55203,57343,57752,73,781.1507,57024,,,,,,,,,
13,141,97,58,372.8511,576.7113,969.431,52572,55941,56227,117,476.2479,55721,,,,,,,,,
14,128,94,67,423.5859,607.6277,853.2388,54219,57117,57167,109,520.9266,56781,,,,,,,,,
15,120,95,76,440.4917,593.9789,744.1447,52859,56428,56555,111,504.8288,56036,,,,,,,,,
16,139,75,50,382.9856,767.8933,1155.56,53235,57592,57778,98,584.7449,57305,,,,,,,,,
17,76,87,73,573.6184,519.2069,655.0411,43595,45171,47818,108,422.1852,45596,,,,,,,,,
18,145,87,48,370.2276,654.0805,1193,53683,56905,57264,108,522.5556,56436,,,,,,,,,
19,121,99,55,428.5455,545.2828,993.6727,51854,53983,54652,118,465.6441,54946,,,,,,,,,
20,54,126,70,1032.574,438.3016,791.5,55759,55226,55405,184,280.8913,51684,,,,,,,,,
21,137,95,74,373.8759,572.9368,737.9865,51221,54429,54611,110,490.8545,53994,,,,,,,,,
22,103,78,48,502.0388,694.2436,1137.188,51710,54151,54585,99,546.9091,54144,,,,,,,,,
23,133,97,65,382.8421,549.8351,832.8923,50918,53334,54138,117,454.6068,53189,,,,,,,,,
24,150,78,39,347.5467,704.3205,1425.564,52132,54937,55597,100,544.02,54402,,,,,,,,,
25,112,88,36,451.7143,612.1591,1505.25,50592,53870,54189,112,482.5804,54049,,,,,,,,,
26,98,52,19,562.9694,1106.558,3044,55171,57541,57836,74,773.7432,57257,,,,,,,,,
27,116,88,61,439.3879,600.5682,871.2623,50969,52850,53147,101,520.1188,52532,,,,,,,,,
28,86,64,40,594.3023,847.2344,1362.475,51110,54223,54499,76,713.1579,54200,,,,,,,,,
29,94,70,56,558.5319,787.0571,992.0179,52502,55094,55553,78,702.5128,54796,,,,,,,,,
30,143,84,49,377.9091,673.6429,1158.286,54041,56586,56756,114,492.5263,56148,,,,,,,,,
1,92,65,42,306.1196,464.3077,723.5238,28163,30180,30388,76,390.3158,29664,,,,,,,,,
2,74,54,22,378.4595,550.6667,1363.773,28006,29736,30003,65,448.1231,29128,,,,,,,,,
3,76,67,40,391.0921,463.403,782.05,29723,31048,31282,74,414.9865,30709,,,,,,,,,
4,90,70,50,311.1556,435.2286,609.68,28004,30466,30484,80,375.925,30074,,,,,,,,,
5,64,52,36,465.1719,597.1923,867.75,29771,31054,31239,60,511.15,30669,,,,,,,,,
6,33,27,11,918.697,1155.333,2845.818,30317,31194,31304,35,877.2571,30704,,,,,,,,,
7,69,55,27,411.6667,539,1105.704,28405,29645,29854,63,465.619,29334,,,,,,,,,
8,55,46,30,522.7091,663.4348,1024.967,28749,30518,30749,56,544.1786,30474,,,,,,,,,
9,79,61,27,361.8734,482.9344,1114.667,28588,29459,30096,75,391.4,29355,,,,,,,,,
10,80,65,43,360.7625,480,727.6744,28861,31200,31290,72,429.5278,30926,,,,,,,,,
11,45,33,8,672,950.9091,3937,30240,31380,31496,41,759.9756,31159,,,,,,,,,
12,65,44,15,451.8769,697.5909,2051.667,29372,30694,30775,61,500.4918,30530,,,,,,,,,
13,80,70,50,345.4625,422.0714,594.16,27637,29545,29708,75,389.3333,29200,,,,,,,,,
14,84,73,54,343.4286,424.3151,573.6667,28848,30975,30978,82,375.122,30760,,,,,,,,,
15,72,67,53,393.5972,458.5075,580.283,28339,30720,30755,72,425.6806,30649,,,,,,,,,
16,92,73,53,313.6522,426.0685,588.7925,28856,31103,31206,83,370.759,30773,,,,,,,,,
17,38,37,30,427.1053,436.3784,569.1333,16230,16146,17074,72,255.5,18396,,,,,,,,,
18,99,81,53,277.7374,365.6296,562.9434,27496,29616,29836,91,324.9451,29570,,,,,,,,,
19,86,66,37,330.6744,454.0606,816.9189,28438,29968,30226,80,372.0375,29763,,,,,,,,,
20,76,58,23,387.4079,535.5517,1358.348,29443,31062,31242,73,421.3014,30755,,,,,,,,,
21,76,65,52,353.2895,438.4154,553.6346,26850,28497,28789,74,381.9189,28262,,,,,,,,,
22,52,43,24,520.8077,649.5349,1179.25,27082,27930,28302,54,511.5741,27625,,,,,,,,,
23,58,50,36,492.3793,603.22,843.3889,28558,30161,30362,56,535.8393,30007,,,,,,,,,
24,81,59,38,336.1111,489.1017,771.0526,27225,28857,29300,67,428.8358,28732,,,,,,,,,
25,66,63,48,410.3636,458.4127,608.8542,27084,28880,29225,66,432.6061,28552,,,,,,,,,
26,70,46,27,424.5143,676.1087,1157.704,29716,31101,31258,61,506.2623,30882,,,,,,,,,
27,38,24,5,792.2632,1297.667,6234.2,30106,31144,31171,31,1000.742,31023,,,,,,,,,
28,62,42,23,444.2097,702.881,1293.826,27541,29521,29758,53,556.3019,29484,,,,,,,,,
29,53,48,29,529.283,618.0833,1032.172,28052,29668,29933,54,542.6852,29305,,,,,,,,,
30,92,70,46,311.1413,430.0429,657.4348,28625,30103,30242,90,330.9889,29789,,,,,,,,,
1,137,75,30,376.3139,716.88,1803.6,51555,53766,54108,96,558.5208,53618,,,,,,,,,
2,115,96,64,431.3391,543.625,826.2969,49604,52188,52883,110,467.7273,51450,,,,,,,,,
3,113,86,32,456.6018,632.5233,1713.8438,51596,54397,54843,101,528.9208,53421,,,,,,,,,
4,140,104,58,348.4071,501.2981,906.1379,48777,52135,52556,124,418.879,51941,,,,,,,,,
5,87,71,37,601.5057,763.2958,1473.2973,52331,54194,54512,86,622.7791,53559,,,,,,,,,
6,76,40,19,691.3158,1355.525,2857.7368,52540,54221,54297,48,1124.3542,53969,,,,,,,,,
7,102,67,28,508.2255,805.7313,1939.8929,51839,53984,54317,82,652.0488,53468,,,,,,,,,
8,126,106,67,356.2778,455.5566,742.7164,44891,48289,49762,121,395.6942,47879,,,,,,,,,
9,127,80,42,389.748,646.0125,1240.3333,49498,51681,52094,103,495.835,51071,,,,,,,,,
10,148,119,84,339.3784,458.4202,651.4524,50228,54552,54722,130,413.5308,53759,,,,,,,,,
12,149,98,26,336.0067,551.8265,2104.9615,50065,54079,54729,131,413.2061,54130,,,,,,,,,
13,126,104,64,392.8254,502.2692,824.1875,49496,52236,52748,121,428.7934,51884,,,,,,,,,
14,124,109,57,415.8548,500.3303,959.3158,51566,54536,54681,120,452.5583,54307,,,,,,,,,
15,96,88,67,528.7292,613.5341,809.5672,50758,53991,54241,98,544.3571,53347,,,,,,,,,
16,152,108,73,335.4013,506.5463,753.1781,50981,54707,54982,128,424.9219,54390,,,,,,,,,
17,93,92,83,341.3226,354.7065,419.1928,31743,32633,34793,124,296.1048,36717,,,,,,,,,
18,157,108,72,298.8535,463.4444,704,46920,50052,50688,137,360.7664,49425,,,,,,,,,
19,139,109,64,359.4604,481.5963,826.1094,49965,52494,52871,129,409.4186,52815,,,,,,,,,
20,80,97,41,649.325,552.1237,1315.4878,51946,53556,53935,114,463.5702,52847,,,,,,,,,
21,122,100,75,392.623,503.65,677.4267,47900,50365,50807,110,455.0091,50051,,,,,,,,,
22,104,83,50,460.4808,604.2771,1014.94,47890,50155,50747,101,491.4554,49637,,,,,,,,,
23,107,74,40,471.8037,719.8649,1341.925,50483,53270,53677,90,586.7333,52806,,,,,,,,,
24,152,76,41,315.5921,659.4868,1251.6829,47970,50121,51319,98,510.0102,49981,,,,,,,,,
25,118,88,32,425.839,608.8977,1685.6875,50249,53583,53942,108,493.5093,53299,,,,,,,,,
26,87,52,28,595.1379,1036.7885,1936.7143,51777,53913,54228,69,776.087,53550,,,,,,,,,
27,120,89,41,413.0833,579.2921,1274.2927,49570,51557,52246,103,497.7864,51272,,,,,,,,,
28,107,80,44,465.2897,657.2125,1202.3182,49786,52577,52902,95,549.4211,52195,,,,,,,,,
29,96,78,57,457.4375,593.9103,823.5789,43914,46325,46944,102,464.1176,47340,,,,,,,,,
30,140,107,60,335.2929,462.5701,833.85,46941,49495,50031,134,364.6567,48864,,,,,,,,,
1,166,130,83,445.1627,583.8615,925.3855,73897,75902,76807,153,495.9085,75874,,,,,,,,,
2,147,129,69,504.2789,596.9147,1138.29,74129,77002,78542,146,521.0616,76075,,,,,,,,,
3,182,134,96,425.7308,606.291,851.0625,77483,81243,81702,152,530.2632,80600,,,,,,,,,
4,171,139,114,436.9825,568.9065,695.7018,74724,79078,79310,160,490.0688,78411,,,,,,,,,
5,158,130,92,497.019,625.3,888.6304,78529,81289,81754,149,540.7852,80577,,,,,,,,,
6,171,132,80,447.6608,608.7045,1007.6,76550,80349,80608,152,523.2829,79539,,,,,,,,,
7,156,123,72,475.9872,628.2602,1088.583,74254,77276,78378,150,512.4933,76874,,,,,,,,,
8,200,170,98,356.19,451.8647,793.8776,71238,76817,77800,189,403.4392,76250,,,,,,,,,
9,185,137,69,405.7297,574.2701,1149.145,75060,78675,79291,158,494.4747,78127,,,,,,,,,
10,207,175,116,366.0676,466.1771,705.2672,75776,81581,81811,200,403.67,80734,,,,,,,,,
11,184,131,90,417.1359,618.687,908.1222,76753,81048,81731,148,539.7027,79876,,,,,,,,,
12,195,102,36,393,801.5784,2281.917,76635,81761,82149,143,569.3846,81422,,,,,,,,,
13,174,148,114,423.0862,527.8986,687.2105,73617,78129,78342,167,463.9701,77483,,,,,,,,,
14,180,147,112,427.3111,554.5714,730.2321,76916,81522,81786,173,467.5607,80888,,,,,,,,,
15,165,146,110,462.2,553.0753,736.1545,76263,80749,80977,170,472.0941,80256,,,,,,,,,
16,192,150,113,394.1094,544.0867,725.1504,75669,81613,81942,168,480.6964,80757,,,,,,,,,
17,128,135,117,457.1172,440.3259,534.8547,58511,59444,62578,164,362.4207,59437,,,,,,,,,
18,225,164,120,341.1067,486.6646,668.45,76749,79813,80214,196,403.7194,79129,,,,,,,,,
19,187,157,108,412.7219,515.4459,756.2315,77179,80925,81673,180,447.3056,80515,,,,,,,,,
20,106,177,129,720.217,431.4859,606.3333,76343,76373,78217,230,306.3174,70453,,,,,,,,,
21,181,125,100,401.011,608.92,768.4,72583,76115,76840,148,513.9865,76070,,,,,,,,,
22,154,136,80,477.5519,558.4926,963.6375,73543,75955,77091,155,485.6645,75278,,,,,,,,,
23,151,109,74,501.1457,731.1835,1086,75673,79699,80364,135,585.9333,79101,,,,,,,,,
24,229,187,122,309.0786,400.861,623.2869,70779,74961,76041,213,347.4319,74003,,,,,,,,,
25,191,168,119,339.9529,403.8631,586.3361,64931,67849,69774,206,326.1893,67195,,,,,,,,,
26,140,100,63,560.0143,812.81,1296.921,78402,81281,81706,130,619.9308,80591,,,,,,,,,
27,160,142,73,452.1938,541.7676,1072.164,72351,76931,78268,160,474.7688,75963,,,,,,,,,
28,163,120,89,421.454,613.1917,833.1236,68697,73583,74148,149,493.396,73516,,,,,,,,,
29,132,108,78,552.9621,708.0833,992.9231,72991,76473,77448,125,606.68,75835,,,,,,,,,
30,168,128,89,455.6845,622.5078,897.236,76555,79681,79854,159,495.6415,78807,,,,,,,,,
1,179,143,80,299.4916,399.3077,728.4625,53609,57101,58277,166,342.0361,56778,,,,,,,,,
2,118,110,67,474.7881,536.2818,895.8806,56025,58991,60024,127,457.3465,58083,,,,,,,,,
3,144,137,97,391.9653,443.3723,629.3608,56443,60742,61048,144,416.7986,60019,,,,,,,,,
4,145,135,120,378.8483,441.5037,498.05,54933,59603,59766,148,397.4797,58827,,,,,,,,,
5,117,101,76,507.3675,610.5743,818.8158,59362,61668,62230,122,500.1148,61014,,,,,,,,,
6,115,92,43,510.6087,668.2935,1433.512,58720,61483,61641,113,538.4779,60848,,,,,,,,,
7,123,120,56,427.5691,460.1333,1011.304,52591,55216,56633,133,407.3459,54177,,,,,,,,,
8,142,138,80,354.5563,393.6232,700.4625,50347,54320,56037,152,351.8553,53482,,,,,,,,,
9,158,120,54,356.1203,495.1167,1109.611,56267,59414,59919,145,404.6,58667,,,,,,,,,
10,174,155,121,322.7816,399.6968,512.7851,56164,61953,62047,171,357.4971,61132,,,,,,,,,
11,77,67,43,771.3506,927.9552,1457.419,59394,62173,62669,89,690.1798,61426,,,,,,,,,
12,157,136,55,366.2675,454.5662,1132.491,57504,61821,62287,156,393.0769,61320,,,,,,,,,
13,155,133,101,362.2323,451.0902,599.901,56146,59995,60590,150,394.8267,59224,,,,,,,,,
14,134,116,90,438.1866,529.3103,687.1444,58717,61400,61843,133,460.0451,61186,,,,,,,,,
15,100,91,64,582.4,673.4396,961.3906,58240,61283,61529,116,524.6379,60858,,,,,,,,,
16,164,133,104,346.2256,464.4361,598.4808,56781,61770,62242,158,388.6456,61406,,,,,,,,,
17,72,106,96,613.3611,418.8679,499.6875,44162,44400,47970,141,303.3333,42770,,,,,,,,,
18,172,152,101,327.564,397.4408,602.4752,56341,60411,60850,165,361.3515,59623,,,,,,,,,
19,174,150,88,318.4655,392.92,674.5682,55413,58938,59362,166,349.5904,58032,,,,,,,,,
20,84,89,38,678.131,660.2247,1566.079,56963,58760,59511,103,563.5534,58046,,,,,,,,,
21,127,116,102,426.9055,494.0948,564.8824,54217,57315,57618,127,445.8504,56623,,,,,,,,,
22,122,103,66,454.2459,565.4466,892.0152,55418,58241,58873,120,484.8333,58180,,,,,,,,,
23,128,124,90,423.875,469.4516,655.4,54256,58212,58986,140,411.2929,57581,,,,,,,,,
24,157,126,79,329.1274,435.1508,710.1266,51673,54829,56100,146,369.8836,54003,,,,,,,,,
25,142,130,84,382.8099,442.6615,694.5833,54359,57546,58345,141,402.1418,56702,,,,,,,,,
26,116,100,80,476.6638,581.77,733.775,55293,58177,58702,117,495.1795,57936,,,,,,,,,
27,154,133,72,363.3571,444.9624,832.2361,55957,59180,59921,152,389.7632,59244,,,,,,,,,
28,129,109,63,420.4419,536.4495,934.3175,54237,58473,58862,137,423.8394,58066,,,,,,,,,
29,109,102,72,480.0092,543.049,779.4306,52321,55391,56119,113,485.6372,54877,,,,,,,,,
30,158,129,70,344.0759,443.062,826.1143,54364,57155,57828,154,364.5909,56147,,,,,,,,,
1,88,72,34,502.1591,637.125,1356,44190,45873,46104,84,540.5595,45407,,,,,,,,,
2,93,89,60,442.0108,490.7978,737.3,41107,43681,44238,95,463.1474,43999,,,,,,,,,
3,106,87,66,413.7642,528.5057,699.2879,43859,45980,46153,104,437.4904,45499,,,,,,,,,
4,97,86,61,434.0928,521.5233,736.7541,42107,44851,44942,92,482.5978,44399,,,,,,,,,
5,98,84,54,447.2755,546.1786,852.463,43833,45879,46033,94,480.6702,45183,,,,,,,,,
6,75,61,37,599.1067,761.1311,1256.676,44933,46429,46497,70,657.6857,46038,,,,,,,,,
7,90,69,43,474.7,645.3043,1044.884,42723,44526,44930,86,512.5465,44079,,,,,,,,,
8,111,100,59,336.2973,403.66,705.5932,37329,40366,41630,112,358.9375,40201,,,,,,,,,
9,91,75,50,481.956,611.5067,918.58,43858,45863,45929,86,527.6512,45378,,,,,,,,,
10,123,102,79,345.1545,451.9804,588.2658,42454,46102,46473,115,397.2522,45684,,,,,,,,,
11,71,55,34,626.0423,841.8727,1371.765,44449,46303,46640,69,665.5652,45924,,,,,,,,,
12,130,79,22,332.2,592.1139,2138.5,43186,46777,47047,97,477.3814,46306,,,,,,,,,
13,120,89,67,341.0583,489.5618,657.8209,40927,43571,44074,105,411.3238,43189,,,,,,,,,
14,130,109,90,331.6308,425.5138,515.4444,43112,46381,46390,122,376.2623,45904,,,,,,,,,
15,88,75,53,486.0795,599.08,856.4717,42775,44931,45393,87,508.3563,44227,,,,,,,,,
16,119,85,66,364.0168,548.5176,707.4697,43318,46624,46693,100,461.21,46121,,,,,,,,,
17,63,57,52,580.8413,661.0702,749.6923,36593,37681,38984,70,531.9286,37235,,,,,,,,,
18,126,90,54,344.6905,515.2444,859.5556,43431,46372,46416,106,429.6698,45545,,,,,,,,,
19,134,116,80,320.5522,394.931,575.4875,42954,45812,46039,123,365.8049,44994,,,,,,,,,
20,110,98,63,383.6545,451.5816,710.4603,42202,44255,44759,108,407,43956,,,,,,,,,
21,100,74,59,397.15,572.0946,719.9322,39715,42335,42476,93,456.6344,42467,,,,,,,,,
22,102,97,54,400.451,444.9794,809.7037,40846,43163,43724,109,393.7615,42920,,,,,,,,,
23,99,78,51,410.798,560.0513,868.0392,40669,43684,44270,91,475.044,43229,,,,,,,,,
24,132,106,64,295.3636,392.4717,669.9063,38988,41602,42874,132,312.4242,41240,,,,,,,,,
25,100,92,69,348.7,411.1522,563.8986,34870,37826,38909,111,339.1081,37641,,,,,,,,,
26,90,72,31,478.0333,619.7778,1457.258,43023,44624,45175,85,519.2235,44134,,,,,,,,,
27,87,70,49,504.4483,657.1714,940.8571,43887,46002,46102,84,541.7857,45510,,,,,,,,,
28,97,69,44,427.9278,633.8551,1001.295,41509,43736,44057,88,492.3523,43327,,,,,,,,,
29,99,78,51,396.798,539.6667,838.5882,39283,42094,42768,91,457.5495,41637,,,,,,,,,
30,122,105,83,315.5492,390.1238,498.4578,38497,40963,41372,125,317.688,39711,,,,,,,,,
