,,,Count ,,,Avg Duration (ms),,,Cum. Duration (ms),,,Ground Truth,,,,Count ,,,Avg Duration (ms),,,Cum. Duration (ms),,,Ground Truth,,
,,,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration,,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration
,,15,44,43,40,362.25,412.2093,445.15,15939,17725,17806,43,406.7442,17490,,40,40,34,380.1,410.5,486.4118,15204,16420,16538,43,406.7442,17490
,,16,56,49,44,291.9464,366.7143,409.8182,16349,17969,18032,51,347.9804,17747,,55,54,45,288.0364,318.8333,385.9556,15842,17217,17368,51,347.9804,17747
,,17,35,38,34,393.8857,353.8158,425.5588,13786,13445,14469,41,325,13325,,29,36,31,328.5172,235.8889,291.2581,9527,8492,9029,41,325,13325
,,18,54,47,35,291.9259,360.5532,491.7143,15764,16946,17210,52,325.8654,16945,,55,55,45,290.5273,308.5273,385.0222,15979,16969,17326,52,325.8654,16945
,,19,36,33,28,453.2778,536.6061,638.3214,16318,17708,17873,36,486.4167,17511,,34,35,25,457.5,483.3714,682.68,15555,16918,17067,36,486.4167,17511
,,20,24,23,17,717.6667,784.7391,1067.4706,17224,18049,18147,26,688.0385,17889,,25,24,17,665.4,748.9583,1066.118,16635,17975,18124,26,688.0385,17889
,,21,50,46,41,318.38,377.7609,424.9756,15919,17377,17424,52,332.1731,17273,,52,56,48,298.25,298.1786,352.6875,15509,16698,16929,52,332.1731,17273
,,22,46,38,31,326.413,419.8947,521.8065,15015,15956,16176,43,367.0465,15783,,45,41,28,324.9111,380.5854,568.3571,14621,15604,15914,43,367.0465,15783
,,23,28,21,17,596.4286,833.8571,1042.4118,16700,17511,17721,23,755.1739,17369,,29,29,16,569.6897,597.7931,1105.375,16521,17336,17686,23,755.1739,17369
,,24,41,35,26,399.122,489.6286,663.8846,16364,17137,17261,40,427.5,17100,,43,41,35,373.2326,413.3415,490.2,16049,16947,17157,40,427.5,17100
,,25,42,42,40,320.1667,329.9048,370.575,13447,13856,14823,48,284.1667,13640,,37,38,30,314,313.8421,421.3,11618,11926,12639,48,284.1667,13640
,,26,44,39,25,380.0455,457.4103,716.28,16722,17839,17907,43,416.4884,17909,,46,44,31,364.7826,406.9318,581.0645,16780,17905,18013,43,416.4884,17909
